sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
fanduel,nhl,Carolina Hurricanes__Pittsburgh Penguins,Carolina Hurricanes,1.48,2026-05-05T23:00:24Z,upcoming,2026-04-26T22:22:56Z
fanduel,nhl,Carolina Hurricanes__Pittsburgh Penguins,Pittsburgh Penguins,2.72,2026-05-05T23:00:24Z,upcoming,2026-04-26T22:22:56Z
sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
fanduel,nhl,Colorado Avalanche__Los Angeles Kings,Los Angeles Kings,1.15,2026-04-26T20:50:00Z,live,2026-04-26T22:25:13Z
fanduel,nhl,Colorado Avalanche__Los Angeles Kings,Colorado Avalanche,5.2,2026-04-26T20:50:00Z,live,2026-04-26T22:25:13Z
bovada,nhl,Colorado Avalanche__Los Angeles Kings,Los Angeles Kings,1.21,2026-04-26T20:50:00Z,live,2026-04-26T22:24:32Z
bovada,nhl,Colorado Avalanche__Los Angeles Kings,Colorado Avalanche,4.15,2026-04-26T20:50:00Z,live,2026-04-26T22:24:32Z
fanduel,nhl,Montréal Canadiens__Tampa Bay Lightning,Montréal Canadiens,1.98,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:25:13Z
fanduel,nhl,Montréal Canadiens__Tampa Bay Lightning,Tampa Bay Lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:25:13Z
betrivers,nhl,Montréal Canadiens__Tampa Bay Lightning,Montréal Canadiens,1.96,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:25:35Z
betrivers,nhl,Montréal Canadiens__Tampa Bay Lightning,Tampa Bay Lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:25:35Z
bovada,nhl,Montréal Canadiens__Tampa Bay Lightning,Montréal Canadiens,1.97,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:24:32Z
bovada,nhl,Montréal Canadiens__Tampa Bay Lightning,Tampa Bay Lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:24:32Z
fanduel,nhl,Anaheim Ducks__Edmonton Oilers,Anaheim Ducks,2.14,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:25:13Z
fanduel,nhl,Anaheim Ducks__Edmonton Oilers,Edmonton Oilers,1.73,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:25:13Z
betrivers,nhl,Anaheim Ducks__Edmonton Oilers,Anaheim Ducks,2.14,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:25:35Z
betrivers,nhl,Anaheim Ducks__Edmonton Oilers,Edmonton Oilers,1.73,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:25:35Z
bovada,nhl,Anaheim Ducks__Edmonton Oilers,Anaheim Ducks,2.15,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:24:32Z
