sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
fanduel,nhl,avalanche__kings,kings,1.14,2026-04-26T20:50:00Z,live,2026-04-26T22:48:50Z
fanduel,nhl,avalanche__kings,avalanche,5.5,2026-04-26T20:50:00Z,live,2026-04-26T22:48:50Z
bovada,nhl,avalanche__kings,kings,1.19,2026-04-26T20:50:00Z,live,2026-04-26T22:46:07Z
bovada,nhl,avalanche__kings,avalanche,4.4,2026-04-26T20:50:00Z,live,2026-04-26T22:46:07Z
fanduel,nhl,lightning__montréal canadiens,montréal canadiens,1.98,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:48:50Z
fanduel,nhl,lightning__montréal canadiens,lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:48:50Z
betrivers,nhl,lightning__montréal canadiens,montréal canadiens,2.0,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:44:41Z
betrivers,nhl,lightning__montréal canadiens,lightning,1.83,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:44:41Z
bovada,nhl,lightning__montréal canadiens,montréal canadiens,2.05,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:46:07Z
bovada,nhl,lightning__montréal canadiens,lightning,1.8,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:46:07Z
fanduel,nhl,ducks__oilers,ducks,2.14,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:48:50Z
fanduel,nhl,ducks__oilers,oilers,1.73,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:48:50Z
betrivers,nhl,ducks__oilers,ducks,2.14,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:49:13Z
betrivers,nhl,ducks__oilers,oilers,1.73,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:49:13Z
bovada,nhl,ducks__oilers,ducks,2.15,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:46:07Z
bovada,nhl,ducks__oilers,oilers,1.74,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:46:07Z
fanduel,nhl,flyers__penguins,penguins,2.14,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:48:50Z
fanduel,nhl,flyers__penguins,flyers,1.73,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:48:50Z
betrivers,nhl,flyers__penguins,penguins,2.18,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:49:13Z
betrivers,nhl,flyers__penguins,flyers,1.7,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:49:13Z
bovada,nhl,flyers__penguins,penguins,2.17,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:46:07Z
bovada,nhl,flyers__penguins,flyers,1.72,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:46:07Z
fanduel,nhl,golden knights__mammoth,mammoth,2.0,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:48:50Z
fanduel,nhl,golden knights__mammoth,golden knights,1.83,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:48:50Z
betrivers,nhl,golden knights__mammoth,mammoth,1.96,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:49:13Z
betrivers,nhl,golden knights__mammoth,golden knights,1.85,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:49:13Z
bovada,nhl,golden knights__mammoth,mammoth,1.97,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:46:07Z
bovada,nhl,golden knights__mammoth,golden knights,1.85,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:46:07Z
fanduel,nhl,bruins__sabres,sabres,2.58,2026-04-28T23:40:00Z,upcoming,2026-04-26T22:48:50Z
fanduel,nhl,bruins__sabres,bruins,1.52,2026-04-28T23:40:00Z,upcoming,2026-04-26T22:48:50Z
