sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
fanduel,nhl,Colorado Avalanche__Los Angeles Kings,Los Angeles Kings,1.15,2026-04-26T20:50:00Z,live,2026-04-26T22:29:03Z
fanduel,nhl,Colorado Avalanche__Los Angeles Kings,Colorado Avalanche,5.2,2026-04-26T20:50:00Z,live,2026-04-26T22:29:03Z
bovada,nhl,Colorado Avalanche__Los Angeles Kings,Los Angeles Kings,1.2,2026-04-26T20:50:00Z,live,2026-04-26T22:29:11Z
bovada,nhl,Colorado Avalanche__Los Angeles Kings,Colorado Avalanche,4.25,2026-04-26T20:50:00Z,live,2026-04-26T22:29:11Z
fanduel,nhl,Montréal Canadiens__Tampa Bay Lightning,Montréal Canadiens,1.98,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:29:03Z
fanduel,nhl,Montréal Canadiens__Tampa Bay Lightning,Tampa Bay Lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:29:03Z
betrivers,nhl,Montréal Canadiens__Tampa Bay Lightning,Montréal Canadiens,1.96,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:29:26Z
betrivers,nhl,Montréal Canadiens__Tampa Bay Lightning,Tampa Bay Lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:29:26Z
bovada,nhl,Montréal Canadiens__Tampa Bay Lightning,Montréal Canadiens,1.97,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:29:11Z
bovada,nhl,Montréal Canadiens__Tampa Bay Lightning,Tampa Bay Lightning,1.85,2026-04-26T23:10:00Z,upcoming,2026-04-26T22:29:11Z
fanduel,nhl,Anaheim Ducks__Edmonton Oilers,Anaheim Ducks,2.14,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:29:03Z
fanduel,nhl,Anaheim Ducks__Edmonton Oilers,Edmonton Oilers,1.73,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:29:03Z
betrivers,nhl,Anaheim Ducks__Edmonton Oilers,Anaheim Ducks,2.14,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:29:26Z
betrivers,nhl,Anaheim Ducks__Edmonton Oilers,Edmonton Oilers,1.73,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:29:26Z
bovada,nhl,Anaheim Ducks__Edmonton Oilers,Anaheim Ducks,2.15,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:29:11Z
bovada,nhl,Anaheim Ducks__Edmonton Oilers,Edmonton Oilers,1.74,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:29:11Z
fanduel,nhl,Philadelphia Flyers__Pittsburgh Penguins,Pittsburgh Penguins,2.14,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:29:03Z
fanduel,nhl,Philadelphia Flyers__Pittsburgh Penguins,Philadelphia Flyers,1.73,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:29:03Z
