sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
betmgm,nhl,lightning__montréal canadiens,lightning,2.45,2026-04-29T23:00:00Z,upcoming,2026-04-27T18:11:02Z
betmgm,nhl,lightning__montréal canadiens,montréal canadiens,1.56,2026-04-29T23:00:00Z,upcoming,2026-04-27T18:11:02Z
betrivers,nhl,lightning__montréal canadiens,lightning,2.43,2026-04-29T23:00:00Z,upcoming,2026-04-27T18:11:13Z
betrivers,nhl,lightning__montréal canadiens,montréal canadiens,1.56,2026-04-29T23:00:00Z,upcoming,2026-04-27T18:11:13Z
draftkings,nhl,lightning__montréal canadiens,lightning,2.45,2026-04-29T23:00:00Z,upcoming,2026-04-27T18:11:12Z
draftkings,nhl,lightning__montréal canadiens,montréal canadiens,1.57,2026-04-29T23:00:00Z,upcoming,2026-04-27T18:11:12Z
bovada,nhl,lightning__montréal canadiens,lightning,2.47,2026-04-29T23:00:00Z,upcoming,2026-04-27T17:58:45Z
bovada,nhl,lightning__montréal canadiens,montréal canadiens,1.58,2026-04-29T23:00:00Z,upcoming,2026-04-27T17:58:45Z
fanduel,nhl,flyers__hurricanes,hurricanes,1.52,2026-05-05T23:00:09Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,flyers__hurricanes,flyers,2.6,2026-05-05T23:00:09Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,hurricanes__penguins,hurricanes,1.48,2026-05-05T23:00:24Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,hurricanes__penguins,penguins,2.72,2026-05-05T23:00:24Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,avalanche__wild,avalanche,1.54,2026-05-06T23:00:15Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,avalanche__wild,wild,2.52,2026-05-06T23:00:15Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,avalanche__stars,avalanche,1.54,2026-05-06T23:00:19Z,upcoming,2026-04-27T18:11:49Z
fanduel,nhl,avalanche__stars,stars,2.52,2026-05-06T23:00:19Z,upcoming,2026-04-27T18:11:49Z
