sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
fanduel,mlb,guardians__rays,guardians,1.74,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:11:41Z
fanduel,mlb,guardians__rays,rays,2.16,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:11:41Z
draftkings,mlb,guardians__rays,guardians,1.7,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:11:15Z
draftkings,mlb,guardians__rays,rays,2.19,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:11:15Z
betrivers,mlb,guardians__rays,guardians,1.7,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:11:15Z
betrivers,mlb,guardians__rays,rays,2.17,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:11:15Z
betmgm,mlb,guardians__rays,guardians,1.74,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:11:15Z
betmgm,mlb,guardians__rays,rays,2.15,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:11:15Z
bovada,mlb,guardians__rays,guardians,1.74,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:10:33Z
bovada,mlb,guardians__rays,rays,2.14,2026-04-27T22:11:00Z,upcoming,2026-04-27T18:10:33Z
fanduel,mlb,cardinals__pirates,pirates,1.75,2026-04-27T22:41:00Z,upcoming,2026-04-27T18:11:41Z
fanduel,mlb,cardinals__pirates,cardinals,2.14,2026-04-27T22:41:00Z,upcoming,2026-04-27T18:11:41Z
betrivers,mlb,cardinals__pirates,pirates,1.73,2026-04-27T22:41:00Z,upcoming,2026-04-27T18:11:15Z
betrivers,mlb,cardinals__pirates,cardinals,2.1,2026-04-27T22:41:00Z,upcoming,2026-04-27T18:11:15Z
draftkings,mlb,cardinals__pirates,pirates,1.74,2026-04-27T22:41:00Z,upcoming,2026-04-27T18:11:15Z
draftkings,mlb,cardinals__pirates,cardinals,2.13,2026-04-27T22:41:00Z,upcoming,2026-04-27T18:11:15Z
betmgm,mlb,cardinals__pirates,pirates,1.74,2026-04-27T22:41:00Z,upcoming,2026-04-27T18:11:15Z
betmgm,mlb,cardinals__pirates,cardinals,2.15,2026-04-27T22:41:00Z,upcoming,2026-04-27T18:11:15Z
