sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_062637
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_062807
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_062938
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_063109
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_063239
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_063410
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_063541
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_063711
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_063842
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_064012
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_064143
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_064313
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
