sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
draftkings,nba,magic__pistons,pistons,1.33,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:42:53Z
draftkings,nba,magic__pistons,magic,3.45,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:42:53Z
fanduel,nba,magic__pistons,pistons,1.33,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:43:31Z
fanduel,nba,magic__pistons,magic,3.45,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:43:31Z
betrivers,nba,magic__pistons,pistons,1.28,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:43:12Z
betrivers,nba,magic__pistons,magic,3.7,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:43:12Z
betmgm,nba,magic__pistons,pistons,1.31,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:43:11Z
betmgm,nba,magic__pistons,magic,3.6,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:43:11Z
bovada,nba,magic__pistons,pistons,1.3,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:41:37Z
bovada,nba,magic__pistons,magic,3.65,2026-05-03T19:40:00Z,upcoming,2026-05-03T17:41:37Z
draftkings,nba,cavaliers__raptors,cavaliers,1.34,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:42:53Z
draftkings,nba,cavaliers__raptors,raptors,3.35,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:42:53Z
fanduel,nba,cavaliers__raptors,cavaliers,1.3,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:43:31Z
fanduel,nba,cavaliers__raptors,raptors,3.7,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:43:31Z
betmgm,nba,cavaliers__raptors,cavaliers,1.33,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:43:11Z
betmgm,nba,cavaliers__raptors,raptors,3.4,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:43:11Z
betrivers,nba,cavaliers__raptors,cavaliers,1.27,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:43:12Z
betrivers,nba,cavaliers__raptors,raptors,3.75,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:43:12Z
bovada,nba,cavaliers__raptors,cavaliers,1.31,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:41:37Z
bovada,nba,cavaliers__raptors,raptors,3.6,2026-05-03T23:40:00Z,upcoming,2026-05-03T17:41:37Z
draftkings,nba,76ers__knicks,knicks,1.34,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:42:53Z
draftkings,nba,76ers__knicks,76ers,3.4,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:42:53Z
fanduel,nba,76ers__knicks,knicks,1.34,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:43:31Z
fanduel,nba,76ers__knicks,76ers,3.35,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:43:31Z
betrivers,nba,76ers__knicks,knicks,1.34,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:43:12Z
betrivers,nba,76ers__knicks,76ers,3.25,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:43:12Z
bovada,nba,76ers__knicks,knicks,1.36,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:41:37Z
bovada,nba,76ers__knicks,76ers,3.3,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:41:37Z
betmgm,nba,76ers__knicks,knicks,1.33,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:43:11Z
betmgm,nba,76ers__knicks,76ers,3.4,2026-05-05T00:10:00Z,upcoming,2026-05-03T17:43:11Z
draftkings,nba,spurs__timberwolves,spurs,7.0,2026-05-05T01:40:00Z,upcoming,2026-05-03T17:42:53Z
draftkings,nba,spurs__timberwolves,timberwolves,1.11,2026-05-05T01:40:00Z,upcoming,2026-05-03T17:42:53Z
fanduel,nba,spurs__timberwolves,spurs,6.7,2026-05-05T01:40:00Z,upcoming,2026-05-03T17:43:31Z
fanduel,nba,spurs__timberwolves,timberwolves,1.12,2026-05-05T01:40:00Z,upcoming,2026-05-03T17:43:31Z
betrivers,nba,spurs__timberwolves,spurs,6.75,2026-05-05T01:40:00Z,upcoming,2026-05-03T17:43:12Z
betrivers,nba,spurs__timberwolves,timberwolves,1.11,2026-05-05T01:40:00Z,upcoming,2026-05-03T17:43:12Z
